_date,total_clones,unique_clones
2022-03-16,23,22
2022-03-17,23,22
2022-03-21,2,2
2022-03-28,1,1
2022-04-02,1,1
2022-04-04,3,3
2022-04-07,1,1
2022-04-11,2,2
2022-04-18,1,1
2022-04-25,3,3
2022-05-02,4,4
2022-05-08,2,1
2022-05-09,3,3
2022-05-16,1,1
2022-05-22,1,1
2022-05-23,3,3
2022-05-30,3,3
2022-06-06,2,2
2022-06-13,2,2
2022-06-20,2,2
2022-06-27,2,2
2022-07-04,4,4
2022-07-11,2,2
2022-07-15,1,1
2022-07-18,2,2
2022-07-25,3,3
2022-08-01,2,2
2022-08-02,1,1
2022-08-08,4,3
2022-08-15,1,1
2022-08-22,2,2
2022-08-29,2,2
2022-09-05,1,1
2022-09-12,1,1
2022-09-19,2,2
2022-09-26,1,1
2022-10-03,2,2
2022-10-10,1,1
2022-10-17,1,1
2022-10-21,1,1
2022-10-24,2,2
2022-10-31,2,2
2022-11-07,3,3
2022-11-14,1,1
2022-11-20,1,1
2022-11-21,1,1
2022-11-28,3,3
2022-12-05,1,1
2022-12-07,2,1
2022-12-12,3,3
2022-12-14,1,1
2022-12-19,2,2
2022-12-26,1,1
2022-12-27,2,2
2023-01-02,2,1
2023-01-03,6,3
2023-01-04,5,3
2023-01-09,2,2
2023-01-10,1,1
2023-01-11,2,1
2023-01-16,2,2
2023-01-23,3,3
2023-01-30,1,1
2023-02-06,1,1
2023-02-13,2,2
2023-02-19,1,1
2023-02-20,1,1
2023-02-21,1,1
2023-02-25,2,1
2023-02-27,2,2
2023-03-02,3,2
2023-03-06,2,2
2023-03-13,2,2
2023-03-14,1,1
2023-03-20,2,2
2023-03-23,1,1
2023-03-27,2,2
2023-04-03,2,2
2023-04-10,2,2
2023-04-11,1,1
2023-04-17,1,1
2023-04-24,5,4
2023-05-01,3,2
2023-05-03,1,1
2023-05-04,1,1
2023-05-05,1,1
2023-05-08,4,3
2023-05-15,3,2
2023-05-21,2,1
2023-05-22,4,3
2023-05-29,4,3
2023-06-01,1,1
2023-06-03,1,1
2023-06-05,5,4
2023-06-12,4,3
2023-06-14,1,1
2023-06-19,5,4
2023-06-21,2,1
2023-06-26,3,2
2023-06-30,1,1
2023-07-03,4,3
2023-07-10,3,2
2023-07-17,4,3
2023-07-24,3,2
2023-07-25,1,1
2023-07-28,2,1
2023-07-31,5,4
2023-08-06,2,1
